year,AverageTemperature,MovingAverage
1800,49.2389,
1801,49.99985,
1802,50.514199999999995,
1803,50.12825,
1804,49.43450000000001,
1805,50.775499999999994,
1806,48.88145,
1807,48.50990000000001,
1808,49.22285,
1809,47.958499999999994,
1810,48.82835,
1811,48.965450000000004,49.371475000000004
1812,46.03595000000001,49.10456250000001
1813,48.0797,48.94455
1814,47.655049999999996,48.7062875
1815,46.879250000000006,48.4355375
1816,46.24985,48.17015000000001
1817,46.00129999999999,47.7723
1818,46.62965,47.58465
1819,48.3299,47.569649999999996
1820,48.172850000000004,47.48215
1821,47.3519,47.4316
1822,49.71515,47.505500000000005
1823,47.5487,47.3874375
1824,48.72559999999999,47.611574999999995
1825,50.371100000000006,47.802525
1826,49.8596,47.98623750000001
1827,48.66995,48.135462499999996
1828,51.266600000000004,48.553525
1829,48.510349999999995,48.76261250000001
1830,50.57495,49.091387499999996
1831,48.317299999999996,49.090337500000004
1832,48.46190000000001,49.114425000000004
1833,48.475699999999996,49.208075
1834,48.7721,49.1294875
1835,47.254999999999995,49.10501250000001
1837,46.6166,48.9292625
1838,47.718500000000006,48.7082125
1839,48.50615,48.595425
1840,48.6926,48.597312499999994
1841,48.198499999999996,48.3416375
1842,48.935750000000006,48.377087499999995
1843,47.284099999999995,48.10285
1844,48.40775,48.110387499999995
1845,49.078849999999996,48.16179999999999
1846,49.380050000000004,48.237162500000004
1847,48.74795,48.23515
1848,49.16675,48.394462499999996
1849,47.899699999999996,48.5013875
1850,48.372350000000004,48.55587499999999
1851,48.674299999999995,48.5698875
1852,48.16805,48.526175
1853,49.415150000000004,48.6275625
1854,49.2104,48.65045
1855,48.40295,48.7436875
1856,46.7645,48.606750000000005
1857,47.32775,48.46082500000001
1858,48.43879999999999,48.38238749999999
1859,48.50585,48.3622125
1860,48.53225,48.309337500000005
1861,49.0412,48.4044625
1862,48.1952,48.389700000000005
1863,48.3587,48.36339999999999
1864,48.7208,48.4094625
1865,49.349,48.40395
1866,48.11044999999999,48.3122875
1867,47.453450000000004,48.2331625
1868,46.30805,48.195125
1869,47.929100000000005,48.245237499999995
1870,50.063449999999996,48.380625
1871,48.0884,48.34583750000001
1872,47.48929999999999,48.258925
1873,47.19155,48.10478750000001
1874,48.302600000000005,48.11373749999999
1876,48.8354,48.153462499999996
1877,50.2763,48.2830875
1878,50.6867,48.3945625
1879,48.8699,48.45785000000001
1880,49.9787,48.6682875
1881,49.58705,48.9415375
1882,48.60395,48.997775
1883,47.4596,48.7807875
1884,48.84545,48.843875
1885,47.0675,48.808725
1886,48.0179,48.8775875
1887,48.38495,48.884449999999994
1888,46.95155,48.727462499999994
1889,49.74125,48.682874999999996
1890,49.31045,48.5681875
1891,49.995200000000004,48.661962499999994
1892,48.4658,48.5358875
1893,47.62265,48.372187499999995
1894,49.9142,48.48137500000001
1895,48.5951,48.576
1896,49.1222,48.5990625
1897,49.336999999999996,48.7881875
1898,50.4278,48.9890125
1899,49.111850000000004,49.0495875
1900,50.7164,49.363325
1901,48.7202,49.278237499999996
1902,48.973549999999996,49.250162499999995
1903,48.7784,49.148762500000004
1904,46.163900000000005,48.9569375
1905,48.38075,49.0201125
1906,49.8143,49.0117875
1907,47.284549999999996,48.90257499999999
1908,49.7612,48.955825
1909,49.118,48.937575
1910,49.194649999999996,48.834812500000005
1911,49.837700000000005,48.8953
1912,48.63125,48.721537500000004
1913,51.3758,48.9428375
1914,48.24155,48.881837499999996
1915,49.73765,48.961774999999996
1916,48.37655,49.146162499999996
1917,46.83965,49.0177375
1918,49.113949999999996,48.959375
1919,50.08475000000001,49.192724999999996
1920,48.548300000000005,49.09165000000001
1921,51.644149999999996,49.3021625
1922,50.066,49.374775
1923,49.12355,49.315262499999996
1924,47.93465,49.2572125
1925,49.499750000000006,49.100875
1926,47.3753,49.0286875
1927,49.451150000000005,49.00481250000001
1928,49.6826,49.11365000000001
1929,49.937900000000006,49.371837500000005
1930,50.3999,49.479000000000006
1931,51.84635,49.6258
1932,50.78555,49.8122375
1933,50.31635,49.701587499999995
1934,49.06805,49.618425
1935,49.0634,49.6134125
1936,49.521950000000004,49.7456875
1937,50.2943,49.8119
1938,50.75945000000001,50.09391250000001
1939,50.12225,50.1498375
1940,47.34635,49.95515
1941,50.3441,49.989
1942,49.927249999999994,49.9496125
1943,49.24025,49.7324375
1944,50.02295,49.668887500000004
1945,49.8971,49.633950000000006
1946,51.13595,49.806275
1947,49.83259999999999,49.870374999999996
1948,49.686800000000005,49.88411250000001
1949,52.4951,50.0675125
1950,49.50365,49.9628625
1951,50.4938,49.993824999999994
1952,50.94065,50.29335
1953,52.1141,50.440850000000005
1954,50.5556,50.4932125
1955,50.7023,50.615050000000004
1956,49.5551,50.5760625
